idWikidata,nameWikidata,idSofifa,nameSofifa,idFbdb,nameFbdb,idFinal
Q9448,Premier League,,Premier League,1,Premier League,1
Q15804,Serie A,,Serie A,2,Serie A,2
Q82595,Bundesliga,,Bundesliga,3,Bundesliga,3
Q324867,Primera División de España,,La Liga,4,La Liga,4
Q13394,Ligue 1,,Ligue 1,5,Ligue 1,5
Q18756,UEFA Champions League,,,,,6
Q18760,UEFA Europa League,,,,,7
Q484028,Super Copa de Europa,,,,,8
Q11151,FA Cup,,,,,9
Q11152,EFL Cup,,,,,10
Q189188,FA Community Shield,,,,,11
Q483794,Copa del Rey,,,,,12
Q485997,Supercopa de España,,,,,13
Q15804,Serie A,,,,,14
Q169918,Coppa Italia,,,,,15
Q19618,Supercoppa Italiana,,,,,16
Q212412,Coupe de France,,,,,17
Q653544,Trophée des Champions,,,,,18
Q150880,DFB-Pokal,,,,,19
Q156973,DFL-Supercup,,,,,20